ZIP Code,Cov A Amount Weighted Avg,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Fire - Incurred Losses,Non-CAT Cov A Fire - Number of Claims,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Fire - Incurred Losses,CAT Cov A Fire - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,CAT Cov C Fire - Incurred Losses,CAT Cov C Fire - Number of Claims,CAT Cov C Smoke - Incurred Losses,CAT Cov C Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021
92646,444774.34,315689.41,0.42,3807,2770,5,0,0,7432896,6582,16137,2,17017,2,24153,1,4885,1,0,0,0,0,0,0,0,0,8124085,6527
92647,400247.79,283427.06,0.41,2804,1942,1,0,0,4295924,4746,18876,3,68965,6,2279,1,0,0,0,0,8793,1,0,0,0,0,4714920,4730
92648,660799.4,464559.87,0.48,1853,1644,32,0,0,5336227,3529,13378,1,13588,2,0,0,0,0,0,0,0,0,0,0,0,0,5935715,3577
92649,621931.0,433627.16,0.48,1788,1599,22,0,0,4620704,3409,94764,4,0,0,25553,2,0,0,0,0,0,0,0,0,0,0,5160125,3444
92651,1070270.73,663250.53,1.35,1046,1892,1088,632,116,12146086,4774,472391,1,0,0,112811,1,0,0,0,0,0,0,0,0,0,0,13855383,4954
92652,978500.0,391400.0,1.0,0,1,0,0,0,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,1
92653,738949.63,483064.56,0.39,1983,1081,73,2,0,5993915,3139,76936,2,7565,1,126661,1,0,0,0,0,0,0,0,0,0,0,6578235,3108
92654,362000.0,253400.0,0.0,1,0,0,0,0,1576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,1
92655,329785.45,228033.2,0.37,257,152,0,0,0,302537,409,0,0,16558,2,0,0,0,0,0,0,2886,1,0,0,0,0,332286,409
92656,494740.7,330070.11,0.53,2103,1366,273,23,7,5483497,3772,17440,2,162470,3,0,0,72361,2,0,0,0,0,0,0,0,0,6087643,3710
92657,1827991.29,1103121.28,1.29,325,834,366,182,30,6489632,1737,435595,2,0,0,194555,2,0,0,0,0,0,0,0,0,0,0,7971395,1812
92658,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92660,1126616.6,720377.76,0.62,1634,1662,251,13,0,8417204,3560,75287,3,21081,1,25512,3,0,0,37981,1,0,0,4388,1,0,0,9636810,3608
92661,1071924.79,678613.64,0.58,286,263,38,0,0,1283100,586,9155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519851,614
92662,889357.75,606010.19,0.65,187,299,13,0,0,950090,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080986,529
92663,945242.96,616679.17,0.5,1126,881,86,0,0,4158384,2094,74609,1,0,0,364358,2,0,0,0,0,0,0,0,0,0,0,4686926,2155
92665,402342.61,292446.95,0.0,2,0,0,0,0,2094,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271,2
92667,740445.71,536348.57,0.0,6,0,0,0,0,10596,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11260,6
92668,601000.0,450750.0,0.0,1,0,0,0,0,921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,1
92670,362000.0,271500.0,0.0,1,0,0,0,0,689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,1
92672,662563.75,441381.93,0.71,1725,1429,392,126,5,5843000,3676,823145,2,0,0,250000,1,0,0,0,0,0,0,0,0,0,0,6631141,3763
92673,735631.55,490577.61,0.79,1791,1722,628,113,9,7810523,4265,422162,5,0,0,189066,3,0,0,0,0,0,0,0,0,0,0,8903683,4322
92674,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92675,822024.76,536672.08,0.83,1465,1573,540,135,8,7662447,3722,13846,2,25307,1,1786,1,6452,1,0,0,0,0,0,0,0,0,8739019,3780
92676,570877.42,382606.85,3.02,4,29,6,215,82,611283,336,662880,6,88854,2,62472,4,221140,3,0,0,0,0,0,0,0,0,569827,327
92677,686873.15,451668.43,0.66,3789,2880,788,199,10,13750717,7664,2174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15435606,7609
92678,1300106.92,286339.72,2.84,0,0,3,18,0,53086,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45261,19
92679,824122.32,537149.3,1.2,1439,2146,1265,470,102,12249686,5421,108188,2,9038,1,99616,1,0,0,0,0,0,0,0,0,0,0,14029865,5516
92683,369280.08,254788.22,0.31,5005,2205,0,0,0,5594660,7210,468528,10,536664,62,311188,6,50123,6,20407,1,22108,2,4428,1,0,0,6007992,7107
92684,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92686,370000.0,277500.0,0.5,1,1,0,0,0,2059,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374,2
92687,547000.0,410250.0,0.0,1,0,0,0,0,1036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,1
92688,478114.78,318421.09,0.72,1952,1612,487,126,12,6090322,4188,388619,1,5300,1,0,0,13114,1,0,0,0,0,0,0,0,0,6767053,4138
92690,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
